filename,latitude,longitude,country
global_street_view_images\Germany_51.641025_10.973168.jpg,51.641024967268265,10.973168385551118,Germany
global_street_view_images\Germany_51.502207_11.015490.jpg,51.502206970081524,11.015490377445579,Germany
global_street_view_images\Germany_51.570761_11.072705.jpg,51.57076106079516,11.072704528252105,Germany
global_street_view_images\Germany_47.376542_8.183946.jpg,47.37654158826714,8.18394639403441,Germany
global_street_view_images\Germany_47.348557_8.293255.jpg,47.348557162398116,8.293255347012359,Germany
global_street_view_images\Germany_47.331256_8.345736.jpg,47.331256080831274,8.345735922094285,Germany
global_street_view_images\Germany_47.518156_8.532699.jpg,47.518156122230835,8.532698623024228,Germany
global_street_view_images\India_20.783949_80.821864.jpg,20.783948785168914,80.82186407373074,India
global_street_view_images\India_20.583943_80.956216.jpg,20.58394275600657,80.95621580168117,India
global_street_view_images\India_20.890186_80.981913.jpg,20.890185907825977,80.98191313243754,India
global_street_view_images\India_20.606079_80.637878.jpg,20.606079146290305,80.63787806117078,India
global_street_view_images\India_24.760675_78.281694.jpg,24.760675127360958,78.28169358967561,India
global_street_view_images\India_24.853054_77.899239.jpg,24.85305422012908,77.89923851149446,India
global_street_view_images\India_24.871492_78.150430.jpg,24.871491548483956,78.15043035676106,India
global_street_view_images\India_24.969582_78.226327.jpg,24.969582234602782,78.22632730007251,India
global_street_view_images\India_24.666099_78.025675.jpg,24.66609882544836,78.02567541813957,India
global_street_view_images\Australia_-32.793372_142.390415.jpg,-32.7933715950387,142.3904147600216,Australia
global_street_view_images\Australia_-34.176259_141.997024.jpg,-34.176258546167986,141.99702389789294,Australia
global_street_view_images\Australia_-34.202490_141.996991.jpg,-34.2024899455274,141.99699085972762,Australia
global_street_view_images\Brazil_-14.681579_-56.240983.jpg,-14.681578741872944,-56.24098293597632,Brazil
global_street_view_images\Brazil_-14.718802_-56.314127.jpg,-14.718801707076432,-56.314127097222716,Brazil
global_street_view_images\Brazil_-14.523651_-55.988745.jpg,-14.52365085366854,-55.988745038876985,Brazil
global_street_view_images\United_States_37.886200_-98.087039.jpg,37.88619996085576,-98.08703915520697,United States
global_street_view_images\United_States_37.777226_-98.038099.jpg,37.77722628175582,-98.0380994713602,United States
global_street_view_images\United_States_37.545325_-98.179643.jpg,37.54532461706514,-98.1796433473425,United States
global_street_view_images\United_States_37.641971_-98.112348.jpg,37.64197116145223,-98.11234782245755,United States
global_street_view_images\South_Africa_-33.928810_20.096609.jpg,-33.92881022132538,20.09660932422891,South Africa
global_street_view_images\South_Africa_-33.770746_20.141277.jpg,-33.770745656910165,20.141277019995936,South Africa
global_street_view_images\Japan_42.752352_140.278808.jpg,42.752352035057285,140.27880778944743,Japan
global_street_view_images\Japan_42.791890_140.233593.jpg,42.79188950326568,140.23359280792707,Japan
global_street_view_images\Japan_42.759897_140.149971.jpg,42.759896963180516,140.14997148500052,Japan
global_street_view_images\Japan_42.746293_140.131966.jpg,42.746293290116924,140.13196623432975,Japan
global_street_view_images\Japan_42.791874_140.228586.jpg,42.791874217169145,140.2285857065927,Japan
global_street_view_images\Japan_34.296533_134.092688.jpg,34.29653269687511,134.09268789849816,Japan
global_street_view_images\Japan_34.332200_134.073127.jpg,34.33220013679034,134.0731265178497,Japan
global_street_view_images\Japan_34.244461_133.981503.jpg,34.24446076199891,133.98150273138873,Japan
global_street_view_images\Japan_34.284959_134.048119.jpg,34.284958742247596,134.04811905540018,Japan
